DEPT,SP,CALM,CALD,CALN,GR,MINV,MNOR,LWTLB,DRHO,SFL,RHOB,NPLS,PE,CILD,ILD,DPLS,PIRM
2980.5,-38.46,8.69,8.91,8.87,19.83,6.21,9.7,950.56,0.05,19.27,2.45,22.95,2.59,429.44,2.33,14.94,3.12
2981.0,-38.38,8.68,8.9,8.89,17.21,6.57,10.76,951.19,0.04,20.32,2.49,18.06,2.9,385.5,2.59,12.96,3.66
2981.5,-38.41,8.68,8.91,8.9,15.19,6.65,10.78,948.28,0.03,18.78,2.48,14.63,3.45,363.56,2.75,13.4,3.86
2982.0,-38.51,8.68,8.91,8.9,16.37,6.53,10.65,944.69,0.02,16.13,2.47,12.72,3.73,370.85,2.7,13.89,3.61
2982.5,-38.65,8.68,8.91,8.9,19.83,5.83,9.67,944.1,0.02,12.86,2.46,11.75,3.72,405.78,2.46,14.69,3.01
2983.0,-38.86,8.68,8.93,8.9,20.52,5.18,8.74,947.3,0.02,9.46,2.43,11.73,3.61,457.59,2.19,16.1,2.43
2983.5,-39.18,8.68,8.94,8.9,20.48,4.68,7.45,953.02,0.02,6.7,2.39,13.94,3.39,512.79,1.95,18.58,2.02
2984.0,-39.59,8.68,8.95,8.9,23.31,4.58,6.78,959.16,0.02,5.17,2.33,18.57,3.18,561.3,1.78,22.19,1.77
2984.5,-39.94,8.68,8.94,8.91,25.75,4.58,6.16,963.04,0.02,4.73,2.27,24.08,3.04,595.79,1.68,25.56,1.67
2985.0,-39.92,8.68,8.94,8.9,26.55,4.74,6.37,964.56,0.03,4.99,2.25,27.11,2.97,617.67,1.62,26.97,1.69
2985.5,-39.33,8.68,8.93,8.9,27.57,5.04,6.83,964.77,0.03,5.53,2.26,27.22,2.97,627.68,1.59,26.37,1.8
2986.0,-38.13,8.68,8.94,8.9,24.59,5.33,7.42,963.65,0.03,6.11,2.27,24.11,2.94,630.61,1.59,25.44,1.97
2986.5,-36.63,8.68,8.95,8.9,21.16,5.89,8.28,961.53,0.02,6.54,2.28,20.23,2.81,629.41,1.59,25.19,2.11
2987.0,-35.4,8.69,8.94,8.9,22.63,6.32,8.66,960.38,0.02,6.56,2.27,19.09,2.63,626.73,1.6,25.99,2.14
2987.5,-34.87,8.68,8.93,8.92,25.28,6.23,8.86,961.47,0.04,6.14,2.26,19.9,2.56,625.2,1.6,26.11,2.01
2988.0,-35.05,8.69,8.94,8.96,28.56,5.6,8.09,963.56,0.08,5.61,2.29,21.49,2.63,627.73,1.59,24.53,1.83
2988.5,-35.51,8.68,8.93,8.95,28.62,5.16,7.48,965.46,0.08,5.28,2.3,23.52,2.82,637.36,1.57,24.03,1.67
2989.0,-35.94,8.69,8.94,8.93,24.64,5.32,7.41,967.33,0.05,5.24,2.3,24.47,2.9,654.79,1.53,24.02,1.58
2989.5,-36.25,8.68,8.95,8.95,22.15,5.59,7.62,968.8,0.03,5.34,2.31,24.84,2.86,674.58,1.48,23.66,1.56
2990.0,-36.41,8.68,8.95,8.94,22.24,5.98,8.28,970.54,0.02,5.48,2.3,24.69,2.72,688.86,1.45,24.22,1.61
2990.5,-36.44,8.68,8.95,8.95,22.59,6.02,8.55,971.86,0.0,5.62,2.28,22.54,2.53,690.3,1.45,25.42,1.7
2991.0,-36.27,8.68,8.95,8.96,24.05,5.83,8.49,973.55,0.0,5.69,2.27,20.46,2.35,675.49,1.48,26.01,1.79
2991.5,-35.82,8.68,8.94,9.0,25.4,5.33,8.03,978.02,0.01,5.67,2.27,19.9,2.35,646.88,1.55,25.56,1.87
2992.0,-35.13,8.69,8.93,9.04,24.77,5.13,7.57,985.04,0.01,5.67,2.29,20.71,2.44,611.13,1.64,24.76,1.92
2992.5,-34.45,8.68,8.94,9.08,23.79,5.3,7.56,990.84,0.01,5.78,2.29,22.35,2.44,578.3,1.73,24.75,1.97
2993.0,-33.91,8.68,8.95,9.09,22.79,5.73,7.71,990.71,0.01,6.06,2.29,22.5,2.29,551.72,1.81,24.34,2.04
